Posture Duration (s),Rear Left Paw Posed Duration (s),Rear Right Paw Posed Duration (s),Rear Paws Posed Duration (s),Rear Together Paws Posed Duration (s),Rearing Duration (s),Front Left Paw Posed Duration (s),Front Right Paw Posed Duration (s),Front Paws Posed Duration (s),Front Together Paws Posed Duration (s),Other Paw Posed Duration (s),Posture Duration (s).1,Rear Left Paw Weight (g),Rear Right Paw Weight (g),Rear Paws Weight (g),Rear Together Paws Weight (g),Rearing Weight (g),Front Left Paw Weight (g),Front Right Paw Weight (g),Front Paws Weight (g),Front Together Paws Weight (g),Other Paw Weight (g),Front/Rear Weight Ratio,Left/Right Weight Ratio,Rear Left/Rear Right Weight Ratio,Posture Duration (s).2,Rear Left Paw Area (mm¬?),Rear Right Paw Area (mm¬?),Rear Paws Area (mm¬?),Rear Together Paws Area (mm¬?),Rearing Area (mm¬?),Front Left Paw Area (mm¬?),Front Right Paw Area (mm¬?),Front Paws Area (mm¬?),Front Together Paws Area (mm¬?),Other Paw Area (mm¬?),Front/Rear Area Ratio,Left/Right Area Ratio,Rear Left/Rear Right Area Ratio,Timepoint,Mouse_number,Day_timepoint,Front Left Paw Weight (%),Front Right Paw Weight (%),Front Paws Weight (%),Front Together Paws Weight (%),Rear Left Paw Weight (%),Rear Right Paw Weight (%),Rear Paws Weight (%),Rear Together Paws Weight (%),Rearing Weight (%),Other Paw Weight (%),Sample_group,Sample_name
55.981,55.521,55.521,55.981,55.981,53.516,2.493,0,2.465,0,0,55.981,12.02,12.36,24.38,24.38,24.64,0.22,0,4.92,0,0,0.2,0.99,0.97,55.981,16.89,17.51,34.4,34.4,34.77,0.34,0,7.81,0,0,0.23,0.98,0.96,1,95,0,,,,,,,,,,,107455,95
77.178,76.744,72.52,77.178,72.922,6.448,70.342,68.704,70.73,69.097,0,77.178,9.98,9.57,19.55,19.96,27.29,4.97,4.14,9.94,9.99,0,0.51,1.09,0.97,77.178,14.52,11.35,25.87,26.43,34.94,9.1,8.52,19.23,19.41,0,0.74,1.19,1.2,2,95,21,,,,,,,,,,,107455,95
44.882,44.579,44.579,44.882,44.882,14.944,26.831,28.082,29.938,25.426,4.184,44.882,10.54,9.44,19.99,19.99,28.04,3.63,3.92,11.33,12.16,0.85,0.57,1.06,1.12,44.882,13.53,13.98,27.51,27.51,31.94,6.07,5.75,17.75,19.54,1.83,0.65,0.99,0.97,3,95,35,,,,,,,,,,,107455,95
51.518,50.083,51.205,51.518,50.383,14.513,36.757,35.805,37.005,36.061,18.772,51.518,6.51,13.93,20.45,20.48,22.57,3.05,2.86,8.23,8.19,2.67,0.4,0.57,0.48,51.518,9.26,12.16,21.42,21.71,26.5,6.71,5.83,17.47,17.52,4.92,0.82,0.89,0.77,4,95,49,,,,,,,,,,,107455,95
75.267,74.641,74.641,75.267,75.267,25.346,47.923,45.382,49.921,44.113,0,75.267,14.95,13.4,28.35,28.35,33.73,4.19,3.17,11.09,11.6,0,0.39,1.15,1.12,75.267,15.61,17.07,32.68,32.68,38.72,7.02,5.06,18.2,18.84,0,0.56,1.02,0.91,5,95,63,,,,,,,,,,,107455,95
80.816,80.308,80.308,80.816,80.816,64.208,12.822,11.832,16.608,8.176,0,80.816,11.94,12.76,24.7,24.7,26.69,0.9,0.66,7.57,8.58,0,0.31,0.96,0.94,80.816,16.46,15.81,32.27,32.27,34.11,1.36,1.48,13.8,16.03,0,0.43,1.03,1.04,6,95,77,,,,,,,,,,,107455,95
58.21,57.81,57.81,58.21,58.21,27.538,26.928,25.723,30.672,22.432,0,58.21,9.49,12.59,22.09,22.09,26.97,2.63,1.99,8.76,9.89,0,0.4,0.83,0.75,58.21,14.96,15.92,30.89,30.89,34,4.49,4.01,16.13,17.93,0,0.52,0.98,0.94,7,95,91,,,,,,,,,,,107455,95
76.351,75.962,75.962,76.351,76.351,72.638,2.141,3.713,3.713,2.144,0,76.351,11.31,13.41,24.72,24.72,25.12,0.13,0.26,8.1,9.55,0,0.33,0.84,0.84,76.351,17.01,16.92,33.93,33.93,34.25,0.35,0.54,18.4,23.69,0,0.54,0.99,1.01,1,92,0,,,,,,,,,,,107455,92
74.595,74.075,74.075,74.595,74.595,72.962,0.825,1.617,1.633,0.833,0,74.595,15.71,17.12,32.83,32.83,33.07,0.07,0.1,7.85,10.62,0,0.24,0.92,0.92,74.595,17.33,21.22,38.55,38.55,38.81,0.09,0.24,14.86,19.64,0,0.39,0.81,0.82,2,92,21,,,,,,,,,,,107455,92
60.603,60.075,60.075,60.603,60.603,50.861,8.707,9.664,9.742,8.782,0,60.603,13.76,12.18,25.94,25.94,27.07,0.59,0.67,7.87,8.25,0,0.3,1.12,1.13,60.603,18.01,17.1,35.11,35.11,36.5,1.05,1.33,14.82,15.26,0,0.42,1.03,1.05,3,92,35,,,,,,,,,,,107455,92
82.479,79.365,81.845,82.479,80,16.862,64.195,57.529,65.617,56.991,0,82.479,6.36,12.59,18.95,19.24,25.41,3.17,3.87,8.85,9.39,0,0.47,0.58,0.52,82.479,10.69,13.5,24.19,24.71,36.28,6.3,7.96,17.92,18.94,0,0.74,0.79,0.8,4,92,49,,,,,,,,,,,107455,92
70.189,69.678,69.678,70.189,70.189,39.6,30.32,27.779,30.589,28.03,0,70.189,10.92,14.22,25.14,25.14,28.81,1.94,2.49,10.17,10.32,0,0.4,0.77,0.77,70.189,14.3,17.79,32.1,32.1,36.45,3.56,4.09,17.55,18.22,0,0.55,0.82,0.8,5,92,63,,,,,,,,,,,107455,92
